Message,upFeatureList,Spam_Ham
So Ì_ pay first lar... Then when is da stock comin...,154 7 255 103,0
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,256 27 452 0 79 427,0
Ffffffffff. Alright no way I can meet up with you sooner?,4108 7647 0,0
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,38 57 22 37 63 2 63 48 0 0 63 0 39 9 51 4,0
Lol your always so convincing.,130 68,0
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,461 6 0 280 59 511 320 256 12 2,0
"I'm back &amp; we're packing the car now, I'll let you know if there's room",48 53 46 47 35 32 0 1,0
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,76 125 0 3 0 0,0
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",237 0 0 218 1 199 0 102 0 84 129,0
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,32 5 60 32 0 8 0 0 0 0 0 19 25 3 4 11 22 58 41 63 0,0
K tell me anything about you.,65 0 65,0
For fear of fainting with the of all that housework you just did? Quick have a cuppa,128 254 1 0 72 3 9,0
Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,160 5 0 211 131 5 1 143 180 0 16 226 185 207,1
Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0 28 34 31 55 3 63 47 63 34 63 32 34,0
"Oops, I'll let you know when my roommate's done",0 0,0
I see the letter B on my car,64 4,0
Anything lor... U decide...,77 0 7,0
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,70 43 110 77 58 0 79 0 0 77 12 60 0 24 84,0
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,64 0 0 22 51 64 55 0,0
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",748 758 539 32 0 47 64 64 0,0
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,0 450 36 0 16 236 45 16 254 12 0 0 256 0,1
WHO ARE YOU SEEING?,0 0,0
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,511 276 47 14 0,0
No calls..messages..missed calls,32 49 0 6,0
Didn't you get hep b immunisation in nigeria.,4095 4085,0
"Fair enough, anything going on?",0,0
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",16388 2979 0,0
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,12800 176 8192 3606 25 8192 6379,0
What you thinked about me. First time you saw me in class.,233 0 16 121 42,0
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",32 16 1 0 48 0 0 0 0 0 13 0 8 38,0
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,1577 2047 44 1903 1084,0
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",16 51 253 2 0 0 166 0 2 53 255 51 221 0 102 38 56 17 2 210 14 255 4 239 0 0,0
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,0 0 0 8 16 54 32 2 16 59 0 3 8 0,1
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,70 4 8 94 6 120 9,0
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",34 63 0 2 33 32 59 0 51 39 56 24 55 27 0 59 0 8 52,1
"Sorry, I'll call later in meeting.",0 0,0
Tell where you reached,51 17,0
Yes..gauti and sehwag out of odi series.,1250 0,0
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,256 324 96 258 258 1 163 384,0
Ha ha ha good joke. Girls are situation seekers.,64 63 90 0 57,0
Its a part of checking IQ,32 0,0
"Sorry my roommates took forever, it ok if I come by now?",64 10 1 0 16,0
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,254 188 121 4 234 0 0 212 24,0
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",256 23 0 436 441 0 208 369 0 511 469 479,1
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",371197 490752 2072 212703 216111,0
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",192383 259821 66764 0 181 63895 35463,1
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",2582 24 271 2031 4039,1
I plane to give on this month end.,185 166 11,0
Wah lucky man... Then can save money... Hee...,507 224 64,0
Finished class where are you.,511 278,0
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,16338 0,0
K..k:)where are you?how did you performed?,61866496,0
I am waiting machan. Call me once you free.,4194496,0
Thats cool. i am a gentleman and will treat you with dignity and respect.,1285 2047 652 40 645,0
I like you peoples very much:) but am very shy pa.,72 36 69 109 3,0
Does not operate after  &lt;#&gt;  or what,40 13 2 0,0
Its not the same here. Still looking for a job. How much do Ta's earn there.,4203 768 184 192,0
K. Did you call me just now ah? ,112 96 5,0
Ok i am on the way to home hi hi,177 175,0
You will be in the place of that man,127 127 123,0
"I call you later, don't have network. If urgnt, sms me.",2055670 6176,0
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,35992 54239 552 1629 7363,0
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,851 0 20 556 923 12 580 1009 1006 64,0
I'm really not up to it still tonight babe,108 0 78 0,0
"Ela kano.,il download, come wen ur free..",686 542 875,0
Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,45 57 12 61 16 0 37,0
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,99 3 46 4 63 62 40 5 0 41 69 33 0 0 125 127 127 2 6,0
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0 0 11304 144 0 6079 9377,0
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1024 530 0 15 0 1522 767 761 2017,1
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,3519 2347 4060 4095 32 452,0
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1141 218 0 1922 0 0 1143 749,1
Watching telugu movie..wat abt u?,13312,0
i see. When we finish we have loads of loans to pay,64 2043 520,0
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",2818 1052 196 1613 1364 2338 1295 850 1501 3116 2255,0
Please don't text me anymore. I have nothing else to say.,64 40 125 96 4,0
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,63 33 16 43 0 0 0 48,0
I'm still looking for a car to buy. And have not gone 4the driving test yet.,50 0 55 1 32 0 32 0,0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,288 302 70 144 216 33 256 134 396 32 428 466 441,0
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0 47 24 32 22 60 0 17 1 0 0 0 48 4 0 63 55 0 0 2 16,0
Umma my life and vava umma love you lot dear,64 122 72 93,0
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,228 254 190 141 224 0 183 2,0
"Aight, I'll hit you up when I get some cash",0 0,0
How would my ip address test that considering my computer isn't a minecraft server,16392 17629 32767 2668,0
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,1097891 1066084 2052 1192993,0
What is the plural of the noun research?,65536,0
Going for dinner.msg you after.,2129 1050,0
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,48 0 4 27 0 0 16 6 0 0,0
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0 0 0 115 218 70 4 245 0 247 0 171 240 226,1
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",115493 84344 96016 55820 30 129635,0
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",40 27 51 23 51 0 48 55 0 33 3 45 36 0 2 36 63,0
You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,32 5 0 0 55 4 60 0 59 8 3 0 63 41 43 17 0 11,1
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,70 16 57 82 90 80 11,0
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,2501 0 292 0 0,0
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,27 79 113 0 0 0 0 0 69 0 1 2 112 123 0,1
"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",0 0 0 528 0 32 28 64 0 18,1
here is my new address -apples&pairs&all that malarky,32735 6225,0
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,11491 120 0 1926 0 4991 15451 0,1
I am going to sao mu today. Will be done only at 12 ,218 33 178 145,0
ÌÏ predict wat time Ì_'ll finish buying?,0 32,0
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",8192 2665 2123 8554 146 769 0 2590 96 2048 0 7708 0,0
Are you there in room.,322,0
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0 49 0 2 54 32 13 0 0 0 48,0
K..k:)how much does it cost?,208 177,0
"Dear, will call Tmorrow.pls accomodate.",59592 4096,0
First answer my question.,409 179,0
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,95 126 116 39 127 3 112 8 1 64 0 24,1
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,110 0 0 56 6 68 2 12 14 1 2 13 15 119 116 0,1
I only haf msn. It's yijue@hotmail.com,255 121 17,0
He is there. You call and meet him,237 192 0,0
No no. I will check all rooms befor activities,38 0 16 0 0,0
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1154 1061 0 512 1639 7 2036 5 2005 561,1
Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,0 0 60 0,0
"K, text me when you're on the way",6728,0
"Sir, Waiting for your mail.",39936,0
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",141 32 157 0 1 0 31 0 237 8 0 64 151 115,0
I know you are. Can you pls open the back?,983 896 1,0
Yes see ya not on the dot,512,0
Whats the staff name who is taking class for us?,460 0 34,0
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",0 176 0 93 0 40 91 0 32 191 0 0 66,1
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0 176 0 93 0 40 91 0 32 191 0 0 66,0
K..i deleted my contact that why?,896 153,0
Sindu got job in birla soft ..,512 144,0
The wine is flowing and i'm i have nevering..,63 0 29 0 45,0
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,159 0 67 65 1,0
Ok... Ur typical reply...,0 509,0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,144 3 0 128 76 205 159 117 15 140 16 99 32 1 243,0
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",64 111 110 113 127 16 108 96 0 42 109 40 0 127 16 16 32 27 57 4 79 0 63 8 111 0 87 102 68 37 26 0 89 127 30 1 0 105,0
Aaooooright are you at work?,97 0 127,0
I'm leaving my house now...,192 130,0
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",506 245 55 441 68 411 427 32 401 32 447 447,0
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,35 11 49 43 0 32 25 0 24 30 59 32 48 0 0,1
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,315 50 4 1 233 448 461 1 256 340 135 411,1
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,511 32 2 459 511 4 0 220 383,0
New car and house for my parents.:)i have only new job in hand:),256 0 495 425 37,0
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,400 3 256 0 437 256,0
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,40 49 33 60 0 33 61 0 3 55 56 41 0 24 0 4 1 59,1
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",16735597 8360325 2097176 524288 2098192,1
I place all ur points on e cultures module already.,64 68 0 30 55,0
URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,2 32 40 127 127 4 102 10 127 127 63 111 1 85 8 0,1
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",126 18 0 0 0 122 51,0
Great escape. I fancy the bridge but needs her lager. See you tomo ,5887 4161 2031,0
Yes :)it completely in out of form:)clark also utter waste.,1216 0 0 1060,0
"Sir, I need AXIS BANK account no and bank address.",33 0 11 0,0
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",39 55 2 21 58 46 3 63 38 39,0
What time you coming down later? ,59 47 0,0
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",37 0 26 46 32 14 48 0 49 4 32 7,0
"Well, i'm gonna finish my bath now. Have a good...fine night.",4 16 0 127 0,0
Let me know when you've got the money so carlos can make the call,114410 101516,0
U still going to the mall?,2048,0
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",64 29 0 0 85 24 64 127 124 123 31 0 6 0,0
Text her. If she doesnt reply let me know so i can have her log in,109 64 8 0 0 0,0
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,15491 1513 0 2782 11247 4104,0
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,32 63 0 0 18 56 0 0 9 44 33 6 44 32 0 25 0 47,0
Lol no. U can trust me.,0,0
ok. I am a gentleman and will treat you with dignity and respect.,8 63 45 54 31 60 61,0
Going on nothing great.bye,524299,0
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,2048 3455 2937 4063 0 0 2935 4086 384,0
"Haha awesome, be there in a minute",2047 1791,0
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,64 116 0 0 85 47 47 0 111 0 29 112 0 0 111,1
Have you got Xmas radio times. If not i will get it now,438 348 0 0,0
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,1024 192 0 9 0,0
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,63 63 6 58 0 18 8 4 61,1
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,126 127 127 64 2 127 103 77 0 78 127 127 82 127 0 0 61 72,0
Hi :)finally i completed the course:),11264 0,0
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,8388704 9319507 0,0
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,4195074 5345608 196610,0
Did u got that persons story,256 64,0
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,268 6 0 8 241,0
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,237 144 3 12 215 2 174 146 225 111 7,0
"Found it, ENC  &lt;#&gt; , where you at?",263 152 369,0
I sent you  &lt;#&gt;  bucks,1015 384,0
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,204 0 0 244 0 1 254,0
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,256 0 0 314 495 0 33 0 0 2 288 144 346 254,0
Goodmorning sleeping ga.,32 0 39,0
U call me alter at 11 ok.,56 0,0
ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,0 1 16 0 0 48 2,0
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",40 27 51 23 51 0 48 55 0 33 3 45 36 0 2 36 63,0
"Aight yo, dats straight dogg",32 56 16,0
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,78 123 0 8 8 55 4 109 8,0
Both :) i shoot big loads so get ready!,38 2 0 27,0
"What's up bruv, hope you had a great break. Do have a rewarding semester.",0 16 0 3 0 162,0
Home so we can always chat,64 0,0
K:)k:)good:)study well.,40 228,0
Yup... How Ì_ noe leh...,0 0,0
Sounds great! Are you home now?,17882,0
Finally the match heading towards draw as your prediction.,838 528 66 583,0
Tired. I haven't slept well the past few nights.,0,0
Easy ah?sen got selected means its good..,3389935,0
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,32780 800 16482 49152 55807 57287 5701,0
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,131072 4096 0 28672 0 126079,0
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0 4273 0 24576,0
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",2047 4 463 1663 1024 2047 5 2047 597 1936,1
Would really appreciate if you call me. Just need someone to talk to.,75 0 126 0 103 73 0,0
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",49 37 0 35 38 55 63 31 57 0 32 6 31 0 62,1
Hey company elama po mudyadhu.,1682 1303,0
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",3976 3295 2015 2532 512 1302 1476 4095 2097 0,0
Dear good morning now only i am up,239184,0
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,13366 1313 4735 10173 1660 15293,0
Dear we are going to our rubber place,118 100 71,0
"Sorry battery died, yeah I'm here",35 11 63 48,0
Yes:)here tv is always available in work place..,4 53 46 0 34,0
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,111 9 39 48 0 0 16 17 77 32 30 67 0 0 0,1
I have printed it oh. So  &lt;#&gt;  come upstairs,121 0 0 64 12,0
Or ill be a little closer like at the bus stop on the same street,69 38 21 0 0 16,0
Where are you?when wil you reach here?,256 128 0,0
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",64 59 3 0 109 15 112 36 43 33 0 60 127 0,0
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,55 0 32 100 127 0 124 8 102 8 127 125 1 99 0,1
Tomarrow final hearing on my laptop case so i cant.,32 29 48 4 0 1,0
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,240 0 251 64,0
"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",63 8 29 8 22 0 47 4 0,0
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",151 125 255 36 196 48 0 0 175 188 1 105 0,0
U don't remember that old commercial?,52 4 25 33,0
Too late. I said i have the website. I didn't i have or dont have the slippers,36 48 0 29 49 0 17 0,0
I asked you to call him now ok,54 7 56,0
Kallis wont bat in 2nd innings.,48 0 16,0
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,32 5 6 0 1 48 0 0 0 17 22 0 0 23 0 0,0
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,34 31 0 6 61 53 48 0 8 51 49 17 1 16 39 9 0 0,1
Ranjith cal drpd Deeraj and deepak 5min hold,128 8 0 32,0
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",58 31 0 2 0 12 0 17 61 39 60 13 40 0 60 60 8 0 0 43,0
What you doing?how are you?,235 16,0
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",79 16 0 0 18 0 91 108 80 0 95 0 97 69 85 0 0,0
"I'm back, lemme know when you're ready",48 32 39 0,0
Don't necessarily expect it to be done before you get back though because I'm just now headin out,0 0 0 0 116 63 63 111 77 48,0
Mmm so yummy babe ... Nice jolt to the suzy,1021 0 824,0
Where are you lover ? I need you ...,3810 385,0
We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,55 9 33 2 0 0 17 61 56 44 47 18 0 56 31 3 15 28,1
IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,531 287 992 64 0,0
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,1663 660 12 9 760,0
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,4 3 32 37 52,0
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,288 322 16 438 291 448 14 5 240,1
Why you Dint come with us.,0,0
Same. Wana plan a trip sometme then,0 0 125,0
"Not sure yet, still trying to get a hold of him",66 84 0 0,0
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,1024 0 128 0 258 0 268 0 0 607 0,1
The evo. I just had to download flash. Jealous?,247 0 14 16,0
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,32 63 3 0 56 1 0 4 35 0 41 3 58 0 30,1
"Come to mu, we're sorting out our narcotics situation",64 0 0 10 52,0
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",66 0 109 80 0 0 123 65 0 65 27 58 2 0,0
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,144 7 0 159 16 102 53 196 0 145 0 129 0 123,1
"Usf I guess, might as well take 1 car",0 33 18,0
No objection. My bf not coming.,0 33 18,0
Tell rob to mack his gf in the theater,253 99 1,0
"Awesome, I'll see you in a bit",95 102 30,0
